Date,Month,Year,Price,Open,High,Low,Vol.,Change %
"Jul 20, 2020",July,2020,245.42,240.06,246.05,235.63,20.87M,1.40%
"Jul 17, 2020",July,2020,242.03,241,244.16,237.86,18.15M,0.46%
"Jul 16, 2020",July,2020,240.93,238,241.76,236.33,18.88M,0.27%
"Jul 15, 2020",July,2020,240.28,241.55,244.82,238.05,19.13M,0.23%
"Jul 14, 2020",July,2020,239.73,236.76,240.33,232.03,23.38M,0.31%
"Jul 13, 2020",July,2020,239,247,250.15,238.42,24.67M,-2.48%
"Jul 10, 2020",July,2020,245.07,243.69,245.49,239.32,22.98M,0.23%
"Jul 09, 2020",July,2020,244.5,245,246.53,239.24,22.17M,0.38%
"Jul 08, 2020",July,2020,243.58,238.11,246.99,236.59,29.79M,1.13%
"Jul 07, 2020",July,2020,240.86,239.41,247.65,238.82,27.89M,0.24%
"Jul 06, 2020",July,2020,240.28,233.76,240.4,232.27,26.21M,2.94%
"Jul 02, 2020",July,2020,233.42,239,240,232.61,30.63M,-1.74%
"Jul 01, 2020",July,2020,237.55,228.5,239,227.56,43.40M,4.62%
"Jun 30, 2020",June,2020,227.07,220.59,227.5,218.47,33.93M,2.91%
"Jun 29, 2020",June,2020,220.64,209.75,220.75,207.11,58.51M,2.11%
"Jun 26, 2020",June,2020,216.08,232.64,233.09,215.4,76.34M,-8.32%
"Jun 25, 2020",June,2020,235.68,234.62,237.3,232.74,18.70M,0.71%
"Jun 24, 2020",June,2020,234.02,241.2,243.22,232.68,20.83M,-3.39%
"Jun 23, 2020",June,2020,242.24,241.28,245.19,239.86,24.02M,1.26%
"Jun 22, 2020",June,2020,239.22,238.56,240.7,236.91,18.92M,0.18%
"Jun 19, 2020",June,2020,238.79,237.79,240.83,235.55,30.08M,1.21%
"Jun 18, 2020",June,2020,235.94,234.99,236.14,232.15,15.78M,0.17%
"Jun 17, 2020",June,2020,235.53,235,237.59,231.73,19.58M,-0.05%
"Jun 16, 2020",June,2020,235.65,237.14,238.46,233,15.24M,1.35%
"Jun 15, 2020",June,2020,232.5,225.09,233.77,224.8,15.34M,1.71%
"Jun 12, 2020",June,2020,228.58,229.9,231.66,224.5,22.09M,1.85%
"Jun 11, 2020",June,2020,224.43,229.94,232.89,223.55,26.71M,-5.20%
"Jun 10, 2020",June,2020,236.73,240.96,241.21,235.28,20.72M,-0.81%
"Jun 09, 2020",June,2020,238.67,231.52,239.77,230.41,27.46M,3.14%
"Jun 08, 2020",June,2020,231.4,229.03,231.55,227.41,15.47M,0.27%
"Jun 05, 2020",June,2020,230.77,226.71,231.35,225.31,16.75M,1.98%
"Jun 04, 2020",June,2020,226.29,229.56,231.63,224.61,17.04M,-1.68%
"Jun 03, 2020",June,2020,230.16,232.11,232.65,228.53,15.38M,-1.10%
"Jun 02, 2020",June,2020,232.72,230.94,233,226.56,20.92M,0.35%
"Jun 01, 2020",June,2020,231.91,224.59,232.44,223.5,18.22M,3.03%
"May 29, 2020",May,2020,225.09,225.2,227.49,222.88,23.32M,-0.16%
"May 28, 2020",May,2020,225.46,224.3,231.63,224,29.42M,-1.61%
"May 27, 2020",May,2020,229.14,229.07,230.56,221.13,34.70M,-1.32%
"May 26, 2020",May,2020,232.2,239.77,240.9,231.67,33.18M,-1.15%
"May 22, 2020",May,2020,234.91,231.51,235.99,228.74,33.93M,1.52%
"May 21, 2020",May,2020,231.39,234.72,237.2,231.2,47.78M,0.62%
"May 20, 2020",May,2020,229.97,223.5,231.34,223.19,50.16M,6.04%
"May 19, 2020",May,2020,216.88,213.27,220.49,212.83,31.84M,1.73%
"May 18, 2020",May,2020,213.19,212.15,214.64,210.94,20.17M,1.10%
"May 15, 2020",May,2020,210.88,205.27,211.34,204.12,19.38M,1.97%
"May 14, 2020",May,2020,206.81,202.56,206.93,200.69,17.18M,0.83%
"May 13, 2020",May,2020,205.1,209.43,210.78,202.11,20.68M,-2.38%
"May 12, 2020",May,2020,210.1,213.29,215.28,210,14.70M,-1.44%
"May 11, 2020",May,2020,213.18,210.89,215,210.37,12.91M,0.39%
"May 08, 2020",May,2020,212.35,212.24,213.21,210.85,12.52M,0.52%
"May 07, 2020",May,2020,211.26,211.16,211.6,209.04,15.15M,1.34%
"May 06, 2020",May,2020,208.47,208.12,211.6,206.66,21.86M,0.68%
"May 05, 2020",May,2020,207.07,207.02,210.38,206.5,21.07M,0.88%
"May 04, 2020",May,2020,205.26,200.2,205.91,198.76,19.25M,1.48%
"May 01, 2020",May,2020,202.27,201.6,207.28,199.05,30.42M,-1.19%
"Apr 30, 2020",April,2020,204.71,206.92,209.69,201.57,46.23M,5.42%
"Apr 29, 2020",April,2020,194.19,190.93,196.91,190,45.95M,6.17%
"Apr 28, 2020",April,2020,182.91,188.66,189.2,182.56,21.73M,-2.45%
"Apr 27, 2020",April,2020,187.5,192.66,193.75,187.41,29.20M,-1.35%
"Apr 24, 2020",April,2020,190.07,183.23,190.41,180.82,28.87M,2.67%
"Apr 23, 2020",April,2020,185.13,184.08,187.05,183.15,21.43M,1.56%
"Apr 22, 2020",April,2020,182.28,178.45,184.78,178.14,33.37M,6.72%
"Apr 21, 2020",April,2020,170.8,175.25,175.38,168.34,24.85M,-4.17%
"Apr 20, 2020",April,2020,178.24,177.41,180.5,176.77,16.11M,-0.56%
"Apr 17, 2020",April,2020,179.24,179.2,180.28,176.66,20.97M,1.70%
"Apr 16, 2020",April,2020,176.25,177.95,178.05,172.51,23.59M,-0.41%
"Apr 15, 2020",April,2020,176.97,175.19,178.19,172.82,17.42M,-0.67%
"Apr 14, 2020",April,2020,178.17,178.98,181.22,176.62,21.01M,1.93%
"Apr 13, 2020",April,2020,174.79,173.67,175,169.45,19.36M,-0.23%
"Apr 09, 2020",April,2020,175.19,175.9,177.08,171.57,23.53M,0.52%
"Apr 08, 2020",April,2020,174.28,171.25,175,167.74,21.66M,3.23%
"Apr 07, 2020",April,2020,168.83,171.79,173.39,166.01,31.41M,1.98%
"Apr 06, 2020",April,2020,165.55,160.15,166.2,158.51,28.45M,7.37%
"Apr 03, 2020",April,2020,154.18,157.15,157.91,150.83,25.98M,-2.53%
