"Date","Price","Open","High","Low","Change %"
"Jul 07, 2020","6.0621","6.0566","6.0996","5.9659","0.13%"
"Jul 06, 2020","6.0545","5.9746","6.0613","5.9543","1.26%"
"Jul 03, 2020","5.9792","6.0245","6.0403","5.9651","-0.73%"
"Jul 02, 2020","6.0231","5.9844","6.0410","5.9374","0.69%"
"Jul 01, 2020","5.9821","6.1399","6.1434","5.9624","-2.56%"
"Jun 30, 2020","6.1390","6.0746","6.1800","6.0444","1.08%"
"Jun 29, 2020","6.0734","6.1589","6.1929","6.0578","-1.27%"
"Jun 26, 2020","6.1514","6.0099","6.1563","6.0065","2.40%"
"Jun 25, 2020","6.0074","6.0164","6.0402","5.9075","-0.13%"
"Jun 24, 2020","6.0150","5.8289","6.0243","5.8066","3.22%"
"Jun 23, 2020","5.8273","5.9153","5.9427","5.8071","-1.45%"
"Jun 22, 2020","5.9132","5.9416","5.9643","5.8452","-0.36%"
"Jun 19, 2020","5.9345","6.0289","6.0448","5.9183","-1.50%"
"Jun 18, 2020","6.0250","5.8793","6.0408","5.8694","2.49%"
"Jun 17, 2020","5.8785","5.9074","5.9237","5.8194","-0.46%"
"Jun 16, 2020","5.9058","5.8379","5.9191","5.7038","1.17%"
"Jun 15, 2020","5.8373","5.6808","5.8865","5.6709","2.69%"
"Jun 12, 2020","5.6842","5.6230","5.7839","5.6115","1.12%"
"Jun 11, 2020","5.6214","5.6564","5.6750","5.6172","-0.58%"
"Jun 10, 2020","5.6544","5.5587","5.6621","5.5093","1.79%"
"Jun 09, 2020","5.5548","5.4471","5.5869","5.4212","2.00%"
"Jun 08, 2020","5.4461","5.5985","5.6217","5.4411","-2.66%"
"Jun 05, 2020","5.5952","5.8048","5.8274","5.5780","-3.58%"
"Jun 04, 2020","5.8029","5.6886","5.8273","5.6608","2.06%"
"Jun 03, 2020","5.6859","5.8096","5.8393","5.6314","-2.13%"
"Jun 02, 2020","5.8094","5.9750","6.0048","5.8040","-2.71%"
"Jun 01, 2020","5.9715","5.9214","6.0313","5.9001","0.84%"
"May 29, 2020","5.9220","5.9885","6.0736","5.9049","-1.07%"
"May 28, 2020","5.9860","5.8041","5.9947","5.7969","3.17%"
"May 27, 2020","5.8022","5.8715","5.9049","5.7861","-1.13%"
"May 26, 2020","5.8688","5.9366","5.9772","5.8625","-1.13%"
"May 25, 2020","5.9357","6.0335","6.0407","5.9191","-1.55%"
"May 22, 2020","6.0294","6.0796","6.1308","6.0205","-0.79%"
"May 21, 2020","6.0775","6.2510","6.2757","6.0740","-2.74%"
"May 20, 2020","6.2487","6.2871","6.3131","6.2302","-0.56%"
"May 19, 2020","6.2839","6.2414","6.3053","6.2193","0.73%"
"May 18, 2020","6.2383","6.3317","6.3396","6.2056","-1.49%"
"May 15, 2020","6.3326","6.2788","6.3522","6.2400","0.86%"
"May 14, 2020","6.2787","6.3689","6.4489","6.2673","-1.36%"
"May 13, 2020","6.3654","6.3855","6.4389","6.3274","-0.28%"
"May 12, 2020","6.3835","6.2887","6.3948","6.2415","1.54%"
"May 11, 2020","6.2869","6.2133","6.3169","6.1961","1.18%"
"May 08, 2020","6.2134","6.3182","6.4966","6.1978","-1.62%"
"May 07, 2020","6.3158","6.1701","6.3502","6.1604","2.40%"
"May 06, 2020","6.1677","6.0484","6.1795","6.0157","2.04%"
"May 05, 2020","6.0441","6.0489","6.0796","5.9426","-0.05%"
"May 04, 2020","6.0474","6.0240","6.1418","5.9928","0.41%"
